Timestamp,Department_Year,Event_Attended,Overall_Rating,Organization_Rating,Venue_Rating,Refreshments_Rating,Attend_Again,Liked,To_Improve,Additional_Comments,Student_ID,Liked_Polarity,Liked_Sentiment,To_Improve_Polarity,To_Improve_Sentiment,Additional_Comments_Polarity,Additional_Comments_Sentiment,Combined_Polarity,Combined_Sentiment
2025-02-10 10:15:00,CSE - 2nd Year,College Annual Event,5,5,4,5,Yes,Great performances and good coordination.,Maybe more food stalls.,Had a great time!,Student_1,0.4,Positive,0.0,Neutral,0.25,Positive,0.21666666666666667,Positive
2025-02-10 10:20:00,ECE - 3rd Year,College Annual Event,4,4,4,3,Yes,Loved the overall vibe and decorations.,Better sound system needed.,Overall good experience.,Student_2,0.167,Positive,0.0,Neutral,0.333,Positive,0.16666666666666666,Positive
2025-02-10 10:25:00,MECH - 1st Year,College Annual Event,3,3,3,2,Maybe,"It was okay, liked the music.",More interactive sessions.,Average event.,Student_3,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
2025-02-10 10:30:00,CSE - 3rd Year,College Annual Event,4,4,5,4,Yes,Well organized and enjoyable.,Add more seating space.,Loved it!,Student_4,0.75,Positive,0.0,Neutral,0.5,Positive,0.4166666666666667,Positive
2025-02-10 10:35:00,IT - 2nd Year,College Annual Event,5,5,5,5,Yes,"Excellent event, everything was perfect!",Everything was good.,Best event of the year.,Student_5,0.4,Positive,0.333,Positive,0.2,Positive,0.311,Positive
2025-02-10 10:40:00,EEE - 4th Year,College Annual Event,2,2,3,1,No,"Nothing much, event was boring.",Improve event timing and planning.,Not satisfied.,Student_6,-0.2,Negative,0.0,Neutral,0.0,Neutral,-0.06666666666666667,Negative
2025-02-10 10:45:00,CIVIL - 2nd Year,College Annual Event,4,4,4,4,Yes,Good management and engaging events.,More volunteers required.,Pretty good.,Student_7,0.4,Positive,0.0,Neutral,0.5,Positive,0.3,Positive
2025-02-10 10:50:00,CSE - 1st Year,College Annual Event,5,5,5,5,Yes,"Amazing experience, especially the dance shows.",Crowd management can improve.,Awesome team efforts.,Student_8,0.167,Positive,0.0,Neutral,0.333,Positive,0.16666666666666666,Positive
2025-02-10 10:55:00,AIML - 2nd Year,College Annual Event,3,3,3,3,Maybe,Some activities were good.,Better scheduling required.,Could be improved.,Student_9,0.25,Positive,0.0,Neutral,0.0,Neutral,0.08333333333333333,Positive
2025-02-10 11:00:00,ECE - 1st Year,College Annual Event,4,4,4,4,Yes,Nice event with good arrangements.,Refreshments could be better.,Good event.,Student_10,0.2,Positive,0.0,Neutral,0.5,Positive,0.2333333333333333,Positive
